club_code,club_id,web_name,position,tm_pos,now_cost,start_cost
BUR,5,Lucas Pires,DEF,LB,45,45
BUR,5,Connor Roberts,DEF,RB,40,40
BUR,5,Jordan Beyer,DEF,CB,40,40
BUR,5,Hannibal,MID,AM,75,75
BUR,5,Marcus Edwards,MID,RW,75,75
BUR,5,Jacob Bruun Larsen,MID,LW,60,60
BUR,5,Aaron Ramsey,MID,AM,50,50
BUR,5,Josh Cullen,MID,CM,50,50
BUR,5,Josh Laurent,MID,CM,45,45
BUR,5,Mike Tresor,MID,AM,45,45
BUR,5,Ugo Raghouber,MID,DM,45,45
BUR,5,Zian Flemming,FWD,CF,85,85
BUR,5,Armando Broja,FWD,CF,60,60
BUR,5,Lyle Foster,FWD,CF,60,60
BUR,5,Zeki Amdouni,FWD,CF,45,45
CAR,6,Nathan Trott,GK,GK,45,45
CAR,6,Harry Tyrer,GK,GK,40,40
CAR,6,Calum Chambers,DEF,CB,40,40
CAR,6,Dylan Lawlor,DEF,CB,40,40
CAR,6,Gabriel Osho,DEF,CB,40,40
CAR,6,Joel Bagan,DEF,LB,40,40
CAR,6,Perry Ng,DEF,RB,40,40
CAR,6,Ronan Kpakio,DEF,RB,40,40
CAR,6,Alex Robertson,MID,CM,45,45
CAR,6,Chris Willock,MID,LW,45,45
CAR,6,Cian Ashford,MID,RW,45,45
CAR,6,David Turnbull,MID,CM,45,45
CAR,6,Isaak Davies,MID,LW,45,45
CAR,6,Joel Colwill,MID,AM,45,45
CAR,6,Ollie Tanner,MID,RW,45,45
CAR,6,Rubin Colwill,MID,AM,45,45
CAR,6,Yousef Salech,FWD,CF,50,50
CAR,6,Callum Robinson,FWD,CF,45,45
CAR,6,Kion Etete,FWD,CF,45,45
CAR,6,Roko Simic,FWD,CF,45,45
CHA,7,Thomas Kaminski,GK,GK,45,45
CHA,7,Will Mannion,GK,GK,40,40
CHA,7,Danny McNamara,DEF,RB,45,45
CHA,7,Kayne Ramsay,DEF,RB,45,45
CHA,7,Lloyd Jones,DEF,CB,45,45
CHA,7,Reece Burke,DEF,CB,45,45
CHA,7,Amari'i Bell,DEF,CB,40,40
CHA,7,Joe Rankin-Costello,DEF,RB,40,40
CHA,7,Rob Apter,MID,RW,50,50
CHA,7,Sonny Carey,MID,AM,50,50
CHA,7,Conor Coventry,MID,DM,45,45
CHA,7,Greg Docherty,MID,CM,45,45
CHA,7,Harvey Knibbs,MID,AM,45,45
CHA,7,Millenic Alli,MID,LW,45,45
CHA,7,Timothy Ouma,MID,DM,45,45
CHA,7,Tyreece Campbell,MID,LW,45,45
CHA,7,Charlie Kelman,FWD,CF,50,50
CHA,7,Karlan Grant,FWD,CF,50,50
CHA,7,Miles Leaburn,FWD,CF,45,45
DER,8,Jacob Widell Zetterstrom,GK,GK,50,50
DER,8,Josh Vickers,GK,GK,40,40
DER,8,Max Johnston,DEF,RB,55,55
DER,8,Sondre Langas,DEF,CB,55,55
DER,8,Derry Murkin,DEF,LB,45,45
DER,8,Dion Sanderson,DEF,CB,45,45
DER,8,Matt Clarke,DEF,CB,45,45
DER,8,Charlie Taylor,DEF,LB,40,40
DER,8,Ryan Nyambe,DEF,RB,40,40
DER,8,Sammie Szmodics,MID,AM,75,75
DER,8,Joe Ward,MID,RM,60,60
DER,8,Bobby Clark,MID,CM,55,55
DER,8,Filip Bilbija,MID,LW,55,55
DER,8,Oscar Fraulo,MID,CM,55,55
DER,8,Corey Blackett-Taylor,MID,LW,45,45
DER,8,Kenzo Goudmijn,MID,CM,45,45
DER,8,Lewis Travis,MID,DM,45,45
DER,8,Carlton Morris,FWD,CF,80,80
DER,8,Patrick Agyemang,FWD,CF,80,80
DER,8,Rhian Brewster,FWD,CF,50,50
LIN,9,George Wickens,GK,GK,40,40
LIN,9,Joe Gauci,GK,GK,40,40
LIN,9,Adam Reach,DEF,LB,40,40
LIN,9,Andrei Coubis,DEF,CB,40,40
LIN,9,Callum Elder,DEF,LB,40,40
LIN,9,Josh Honohan,DEF,LB,40,40
LIN,9,Ryley Towler,DEF,CB,40,40
LIN,9,Tom Hamer,DEF,CB,40,40
LIN,9,Ben House,MID,LW,45,45
LIN,9,Conor McGrandles,MID,CM,45,45
LIN,9,Dom Jefferies,MID,RM,45,45
LIN,9,Ivan Varfolomeev,MID,DM,45,45
LIN,9,Reeco Hackett,MID,RW,45,45
LIN,9,Tom Bayliss,MID,CM,45,45
LIN,9,Freddie Draper,FWD,CF,45,45
LIN,9,Mason Melia,FWD,CF,45,45
LIN,9,Tanto Olaofe,FWD,CF,45,45
MID,10,Sol Brynn,GK,GK,55,55
MID,10,Radek Vitek,GK,GK,40,40
MID,10,Adilson Malanda,DEF,CB,55,55
MID,10,Callum Brittain,DEF,RB,55,55
MID,10,Alfie Jones,DEF,CB,50,50
MID,10,Alex Bangura,DEF,LB,45,45
MID,10,Neto Borges,DEF,LB,45,45
MID,10,George Edmundson,DEF,CB,40,40
MID,10,Morgan Whittaker,MID,RW,90,90
MID,10,Aidan Morris,MID,CM,55,55
MID,10,Sebastian Berhalter,MID,CM,55,55
MID,10,Jeremy Sarmiento,MID,LW,50,50
MID,10,Max Arfsten,MID,LW,50,50
MID,10,Abdoulaye Kante,MID,DM,45,45
MID,10,Riley McGree,MID,CM,45,45
MID,10,Sontje Hansen,MID,RW,45,45
MID,10,Tommy Conway,FWD,CF,85,85
MID,10,Will Lankshear,FWD,CF,85,85
MID,10,David Strelec,FWD,CF,55,55
MID,10,Kyle Joseph,FWD,CF,45,45
MIL,11,Max Crocombe,GK,GK,50,50
MIL,11,Lukas Jensen,GK,GK,40,40
MIL,11,Tristan Crama,DEF,CB,65,65
MIL,11,Caleb Taylor,DEF,CB,55,55
MIL,11,Zak Sturge,DEF,LB,55,55
MIL,11,Jake Cooper,DEF,CB,45,45
MIL,11,Elkan Baggott,DEF,CB,40,40
MIL,11,Ryan Leonard,DEF,RB,40,40
MIL,11,Femi Azeez,MID,RM,75,75
MIL,11,Alfie Doughty,MID,LM,55,55
MIL,11,Camiel Neghli,MID,RW,55,55
MIL,11,Luke Cundle,MID,CM,55,55
MIL,11,Mathis Servais,MID,AM,50,50
MIL,11,Casper De Norre,MID,DM,45,45
MIL,11,Derek Mazou-Sacko,MID,CM,45,45
MIL,11,Mark Sykes,MID,RM,45,45
MIL,11,Josh Coburn,FWD,CF,65,65
MIL,11,Mihailo Ivanovic,FWD,CF,65,65
MIL,11,Lyndon Dykes,FWD,CF,45,45
MIL,11,Tairyk Arconte,FWD,CF,45,45
NOR,12,Vladan Kovacevic,GK,GK,50,50
NOR,12,Daniel Grimshaw,GK,GK,40,40
NOR,12,Jose Cordoba,DEF,CB,55,55
NOR,12,Darlin Yongwa,DEF,LB,50,50
NOR,12,Harry Darling,DEF,CB,50,50
NOR,12,Kellen Fisher,DEF,RB,45,45
NOR,12,Ruairi McConville,DEF,CB,45,45
NOR,12,Ben Chrisene,DEF,LB,40,40
NOR,12,Jack Stacey,DEF,RB,40,40
NOR,12,Ali Ahmed,MID,LM,50,50
NOR,12,Andre Brooks,MID,CM,50,50
NOR,12,Matej Jurasek,MID,RW,50,50
NOR,12,Oscar Schwartau,MID,AM,50,50
NOR,12,Pelle Mattsson,MID,CM,50,50
NOR,12,Anis Ben Slimane,MID,AM,45,45
NOR,12,Mirko Topic,MID,DM,45,45
NOR,12,Papa Amadou Diallo,MID,LW,45,45
NOR,12,Sam Field,MID,DM,45,45
NOR,12,Mohamed Toure,FWD,CF,80,80
NOR,12,Jovon Makama,FWD,CF,65,65
NOR,12,Mathias Kvistgaarden,FWD,CF,65,65
NOR,12,Ante Crnac,FWD,CF,45,45
POR,13,Nicolas Schmid,GK,GK,45,45
POR,13,Josef Bursik,GK,GK,40,40
POR,13,Terry Devlin,DEF,RB,50,50
POR,13,Hayden Matthews,DEF,CB,45,45
POR,13,Regan Poole,DEF,CB,45,45
POR,13,Zak Swanson,DEF,RB,45,45
POR,13,Conor Shaughnessy,DEF,CB,40,40
POR,13,Josh Knight,DEF,CB,40,40
POR,13,Adrian Segecic,MID,RW,70,70
POR,13,Abu Kamara,MID,RW,50,50
POR,13,John Swift,MID,AM,50,50
POR,13,Josh Murphy,MID,LW,50,50
POR,13,Rocco Shein,MID,CM,50,50
POR,13,Ebou Adams,MID,CM,45,45
POR,13,Luke Le Roux,MID,CM,45,45
POR,13,Mark Kosznovszky,MID,CM,45,45
POR,13,Marko Milovanovic,FWD,CF,50,50
POR,13,Colby Bishop,FWD,CF,45,45
POR,13,Thomas Waddingham,FWD,CF,45,45
PRE,14,Daniel Iversen,GK,GK,45,45
PRE,14,Lee Nicholls,GK,GK,40,40
PRE,14,Jordan Storey,DEF,CB,50,50
PRE,14,Thierry Small,DEF,LB,50,50
PRE,14,Lewis Gibson,DEF,CB,45,45
PRE,14,Odeluga Offiah,DEF,CB,45,45
PRE,14,Brad Potts,DEF,RB,40,40
PRE,14,Liam Lindsay,DEF,CB,40,40
PRE,14,Pol Valentin,DEF,RB,40,40
PRE,14,Alfie Devine,MID,AM,50,50
PRE,14,Ali McCann,MID,CM,50,50
PRE,14,Andrew Moran,MID,AM,50,50
PRE,14,Callum Lang,MID,RW,50,50
PRE,14,Delano Burgzorg,MID,LW,50,50
PRE,14,Jordan Thompson,MID,CM,45,45
PRE,14,Kitt Nelson,MID,AM,45,45
PRE,14,Jusef Erabi,FWD,CF,50,50
PRE,14,Milutin Osmajic,FWD,CF,50,50
QPR,15,Pierce Charles,GK,GK,50,50
QPR,15,Calum Ward,GK,GK,40,40
QPR,15,Dennis Cirkin,DEF,LB,55,55
QPR,15,Jimmy Dunne,DEF,CB,50,50
QPR,15,Ronnie Edwards,DEF,CB,50,50
QPR,15,Esquerdinha,DEF,LB,45,45
QPR,15,Tariq Lamptey,DEF,RB,45,45
QPR,15,Amadou Mbengue,DEF,CB,40,40
QPR,15,Jake Clarke-Salter,DEF,CB,40,40
QPR,15,Ilias Chair,MID,AM,55,55
QPR,15,Harvey Vale,MID,RM,50,50
QPR,15,Koki Saito,MID,LW,50,50
QPR,15,Nicolas Madsen,MID,CM,50,50
QPR,15,Glen Kamara,MID,CM,45,45
QPR,15,Jonathan Varane,MID,DM,45,45
QPR,15,Karamoko Dembele,MID,AM,45,45
QPR,15,Kieran Morgan,MID,CM,45,45
QPR,15,Paul Smyth,MID,RW,45,45
QPR,15,Richard Kone,FWD,CF,70,70
QPR,15,Rumarn Burrell,FWD,CF,65,65
QPR,15,Rayan Kolli,FWD,CF,45,45
SHU,16,Michael Cooper,GK,GK,55,55
SHU,16,Ivo Grbic,GK,GK,40,40
SHU,16,Harrison Burrows,DEF,LB,60,60
SHU,16,Mark McGuinness,DEF,CB,55,55
SHU,16,Japhet Tanganga,DEF,CB,50,50
SHU,16,Femi Seriki,DEF,RB,45,45
SHU,16,Matt Doherty,DEF,RB,45,45
SHU,16,Nils Zatterstrom,DEF,CB,45,45
SHU,16,Rhys Norrington-Davies,DEF,LB,40,40
SHU,16,Sam McCallum,DEF,LB,40,40
SHU,16,Callum O'Hare,MID,AM,55,55
SHU,16,Sydie Peck,MID,CM,55,55
SHU,16,Tahith Chong,MID,AM,55,55
SHU,16,Romelle Donovan,MID,RW,50,50
SHU,16,Ehije Ukaki,MID,RW,45,45
SHU,16,Jairo Riedewald,MID,DM,45,45
SHU,16,Kalvin Phillips,MID,DM,45,45
SHU,16,Oliver Arblaster,MID,CM,45,45
SHU,16,Patrick Bamford,FWD,CF,70,70
SHU,16,Tyrese Campbell,FWD,CF,60,60
SHU,16,Tom Cannon,FWD,CF,55,55
SOU,17,Aaron Ramsdale,GK,GK,55,55
SOU,17,Gavin Bazunu,GK,GK,45,45
SOU,17,Daniel Peretz,GK,GK,40,40
SOU,17,Taylor Harwood-Bellis,DEF,CB,70,70
SOU,17,Nathan Wood,DEF,CB,65,65
SOU,17,Yukinari Sugawara,DEF,RB,60,60
SOU,17,James Bree,DEF,RB,50,50
SOU,17,Mads Roerslev,DEF,RB,50,50
SOU,17,Ryan Manning,DEF,LB,50,50
SOU,17,Joshua Quarshie,DEF,CB,45,45
SOU,17,Welington,DEF,LB,40,40
SOU,17,Finn Azaz,MID,AM,85,85
SOU,17,Leo Scienza,MID,AM,80,80
SOU,17,Lewis Dobbin,MID,LW,80,80
SOU,17,Samuel Edozie,MID,LW,70,70
SOU,17,Caspar Jander,MID,CM,65,65
SOU,17,Flynn Downes,MID,DM,60,60
SOU,17,Tom Fellows,MID,RM,60,60
SOU,17,Kuryu Matsuki,MID,AM,45,45
SOU,17,Cyle Larin,FWD,CF,90,90
SOU,17,Ben Brereton Diaz,FWD,CF,65,65
SOU,17,Cameron Archer,FWD,CF,65,65
SOU,17,Divin Mubama,FWD,CF,65,65
SOU,17,Damion Downs,FWD,CF,45,45
STK,18,Viktor Johansson,GK,GK,55,55
STK,18,Josh Griffiths,GK,GK,40,40
STK,18,Ben Wilmot,DEF,CB,55,55
STK,18,Bosun Lawal,DEF,CB,50,50
STK,18,Junior Tchamadeu,DEF,RB,50,50
STK,18,Eric-Junior Bocat,DEF,LB,45,45
STK,18,Maksym Taloverov,DEF,CB,45,45
STK,18,Luke Graham,DEF,CB,40,40
STK,18,Sorba Thomas,MID,LW,90,90
STK,18,Jun-ho Bae,MID,AM,50,50
STK,18,Lamine Cisse,MID,RW,50,50
STK,18,Million Manhoef,MID,RW,50,50
STK,18,Tomas Rigo,MID,CM,50,50
STK,18,Ato Ampah,MID,RW,45,45
STK,18,Ben Pearson,MID,DM,45,45
STK,18,Djibril Soumare,MID,DM,45,45
STK,18,Ethan Galbraith,MID,CM,45,45
STK,18,Milan Smit,FWD,CF,50,50
STK,18,Robert Bozenik,FWD,CF,50,50
STK,18,Sam Gallagher,FWD,CF,45,45
SWA,19,Andy Fisher,GK,GK,50,50
SWA,19,Lawrence Vigouroux,GK,GK,40,40
SWA,19,Josh Tymon,DEF,LB,60,60
SWA,19,Ben Cabango,DEF,CB,55,55
SWA,19,Stephen Welsh,DEF,CB,50,50
SWA,19,Cameron Burgess,DEF,CB,45,45
SWA,19,Josh Key,DEF,RB,45,45
SWA,19,Tiago Parente,DEF,LB,40,40
SWA,19,Elijah Just,MID,AM,50,50
SWA,19,Goncalo Franco,MID,CM,50,50
SWA,19,Joseph Opoku,MID,LW,50,50
SWA,19,Moussa Yeo,MID,RW,50,50
SWA,19,Zeidane Inoussa,MID,LW,50,50
SWA,19,Leo Walta,MID,AM,45,45
SWA,19,Marko Stamenic,MID,CM,45,45
SWA,19,Ronald,MID,RW,45,45
SWA,19,Zan Vipotnik,FWD,CF,100,100
SWA,19,Adam Idah,FWD,CF,50,50
SWA,19,Ross Stewart,FWD,CF,45,45
WAT,20,Federico Ravaglia,GK,GK,50,50
WAT,20,Egil Selvik,GK,GK,40,40
WAT,20,Jordan Zemura,DEF,LB,55,55
WAT,20,Jeremy Ngakia,DEF,RB,50,50
WAT,20,Kevin Keben,DEF,CB,50,50
WAT,20,Mattie Pollock,DEF,CB,45,45
WAT,20,Omar Traore,DEF,RB,45,45
WAT,20,Jeremy Petris,DEF,RB,40,40
WAT,20,Marc Bola,DEF,LB,40,40
WAT,20,Imran Louza,MID,CM,70,70
WAT,20,Nestory Irankunda,MID,RM,55,55
WAT,20,Othmane Maamma,MID,RW,55,55
WAT,20,Edoardo Bove,MID,CM,50,50
WAT,20,Martin Payero,MID,CM,50,50
WAT,20,Edo Kayembe,MID,CM,45,45
WAT,20,Hector Kyprianou,MID,DM,45,45
WAT,20,Kwadwo Baah,MID,LW,45,45
WAT,20,Rocco Vata,MID,LW,45,45
WAT,20,Luca Kjerrumgaard,FWD,CF,55,55
WAT,20,Mamadou Doumbia,FWD,CF,50,50
WAT,20,Iker Bravo,FWD,CF,45,45
WBA,21,Max O'Leary,GK,GK,50,50
WBA,21,Matt Ingram,GK,GK,40,40
WBA,21,Callum Styles,DEF,LB,50,50
WBA,21,Chris Mepham,DEF,CB,50,50
WBA,21,Krystian Bielik,DEF,CB,50,50
WBA,21,George Campbell,DEF,CB,45,45
WBA,21,Nat Phillips,DEF,CB,45,45
WBA,21,Nolan Galves,DEF,RB,40,40
WBA,21,Mikey Johnston,MID,LW,75,75
WBA,21,Alex Mowatt,MID,CM,60,60
WBA,21,Isaac Price,MID,CM,60,60
WBA,21,Jayson Molumby,MID,CM,55,55
WBA,21,Felix Horn Myhre,MID,CM,50,50
WBA,21,Ousmane Diakite,MID,DM,45,45
WBA,21,Rabby Nzingoula,MID,DM,45,45
WBA,21,Jimmy-Jay Morgan,FWD,CF,75,75
WBA,21,Aune Heggebo,FWD,CF,60,60
WBA,21,Barney Stewart,FWD,CF,55,55
WHU,22,Alphonse Areola,GK,GK,55,55
WHU,22,Mads Hermansen,GK,GK,55,55
WHU,22,El Hadji Malick Diouf,DEF,LB,70,70
WHU,22,Jean-Clair Todibo,DEF,CB,70,70
WHU,22,Konstantinos Mavropanos,DEF,CB,70,70
WHU,22,Aaron Wan-Bissaka,DEF,RB,65,65
WHU,22,Joel Veltman,DEF,RB,65,65
WHU,22,Kyle Walker-Peters,DEF,RB,65,65
WHU,22,Maximilian Kilman,DEF,CB,55,55
WHU,22,Oliver Scarles,DEF,LB,55,55
WHU,22,Jarrod Bowen,MID,RW,150,150
WHU,22,Manor Solomon,MID,LW,80,80
WHU,22,Tomas Soucek,MID,DM,70,70
WHU,22,James Ward-Prowse,MID,CM,65,65
WHU,22,Maxwel Cornet,MID,LW,65,65
WHU,22,Edson Alvarez,MID,DM,55,55
WHU,22,George Earthy,MID,AM,55,55
WHU,22,Soungoutou Magassa,MID,DM,55,55
WHU,22,Taty Castellanos,FWD,CF,125,125
WHU,22,Pablo,FWD,CF,80,80
WHU,22,Niclas Fullkrug,FWD,CF,65,65
WOL,23,Jose Sa,GK,GK,55,55
WOL,23,Sam Johnstone,GK,GK,40,40
WOL,23,Kieran Trippier,DEF,RB,75,75
WOL,23,Ladislav Krejci,DEF,CB,70,70
WOL,23,Yerson Mosquera,DEF,CB,70,70
WOL,23,Hugo Bueno,DEF,LB,65,65
WOL,23,Santiago Bueno,DEF,CB,60,60
WOL,23,Toti,DEF,CB,60,60
WOL,23,Jackson Tchatchoua,DEF,RB,55,55
WOL,23,David Moller Wolfe,DEF,LB,45,45
WOL,23,Fer Lopez,MID,AM,90,90
WOL,23,Mateus Mane,MID,AM,85,85
WOL,23,Rodrigo Gomes,MID,LM,85,85
WOL,23,Andre,MID,DM,65,65
WOL,23,Jean-Ricner Bellegarde,MID,CM,65,65
WOL,23,Rafiki Said,MID,LW,65,65
WOL,23,Marshall Munetsi,MID,CM,55,55
WOL,23,Tommy Doyle,MID,CM,55,55
WOL,23,Raul Jimenez,FWD,CF,110,110
WOL,23,Adam Armstrong,FWD,CF,80,80
WOL,23,Hee-chan Hwang,FWD,CF,65,65
WOL,23,Sasa Kalajdzic,FWD,CF,45,45
WRX,24,Anthony Patterson,GK,GK,55,55
WRX,24,Arthur Okonkwo,GK,GK,40,40
WRX,24,Callum Doyle,DEF,CB,60,60
WRX,24,Max Cleworth,DEF,CB,55,55
WRX,24,Zak Vyner,DEF,CB,50,50
WRX,24,Conor Coady,DEF,CB,45,45
WRX,24,Dominic Hyam,DEF,CB,45,45
WRX,24,Liberato Cacace,DEF,LB,45,45
WRX,24,Josh Windass,MID,AM,80,80
WRX,24,Nathan Broadhead,MID,LW,60,60
WRX,24,George Thomason,MID,CM,50,50
WRX,24,Lewis O'Brien,MID,CM,50,50
WRX,24,Ryan Longman,MID,RM,50,50
WRX,24,Ben Sheaf,MID,DM,45,45
WRX,24,Ben Whiteman,MID,CM,45,45
WRX,24,George Dobson,MID,DM,45,45
WRX,24,Kieffer Moore,FWD,CF,60,60
WRX,24,Bailey Cadamarteri,FWD,CF,50,50
WRX,24,Davis Keillor-Dunn,FWD,CF,45,45
WRX,24,Sam Smith,FWD,CF,45,45
