# club_code|name|tm_pos|market_value_k
SHU|Sydie Peck|CM|14000
SHU|Callum O'Hare|AM|5000
SHU|Tahith Chong|AM|3500
SHU|Romelle Donovan|RW|3500
SHU|Kalvin Phillips|DM|2500
SHU|Jairo Riedewald|DM|1800
SHU|Oliver Arblaster|CM|1500
SHU|Ehije Ukaki|RW|700
SHU|Tom Cannon|CF|7000
SHU|Tyrese Campbell|CF|7000
SHU|Patrick Bamford|CF|1000
SOU|Aaron Ramsdale|GK|12000
SOU|Gavin Bazunu|GK|8000
SOU|Daniel Peretz|GK|4000
SOU|Taylor Harwood-Bellis|CB|20000
SOU|Nathan Wood|CB|10000
SOU|Yukinari Sugawara|RB|5500
SOU|Joshua Quarshie|CB|4000
SOU|Mads Roerslev|RB|4000
SOU|Welington|LB|3000
SOU|Ryan Manning|LB|2800
SOU|James Bree|RB|2500
SOU|Finn Azaz|AM|20000
SOU|Caspar Jander|CM|18000
SOU|Leo Scienza|AM|12000
SOU|Flynn Downes|DM|10000
SOU|Tom Fellows|RM|8000
SOU|Lewis Dobbin|LW|7000
SOU|Samuel Edozie|LW|4000
SOU|Kuryu Matsuki|AM|3000
SOU|Cameron Archer|CF|7000
SOU|Divin Mubama|CF|6000
SOU|Ben Brereton Diaz|CF|5000
SOU|Damion Downs|CF|4000
SOU|Cyle Larin|CF|2500
STK|Viktor Johansson|GK|12000
STK|Josh Griffiths|GK|2000
STK|Ben Wilmot|CB|5500
STK|Bosun Lawal|CB|3000
STK|Junior Tchamadeu|RB|2500
STK|Eric-Junior Bocat|LB|2200
STK|Luke Graham|CB|2000
STK|Maksym Taloverov|CB|2000
STK|Sorba Thomas|LW|14000
STK|Million Manhoef|RW|7000
STK|Tomas Rigo|CM|4000
STK|Jun-ho Bae|AM|4000
STK|Lamine Cisse|RW|3000
STK|Ethan Galbraith|CM|2500
STK|Djibril Soumare|DM|2000
STK|Ato Ampah|RW|2000
STK|Ben Pearson|DM|700
STK|Robert Bozenik|CF|2500
STK|Milan Smit|CF|2000
STK|Sam Gallagher|CF|900
SWA|Andy Fisher|GK|600
SWA|Lawrence Vigouroux|GK|450
SWA|Josh Tymon|LB|10000
SWA|Ben Cabango|CB|9000
SWA|Stephen Welsh|CB|2000
SWA|Cameron Burgess|CB|1500
SWA|Josh Key|RB|1200
SWA|Tiago Parente|LB|500
SWA|Moussa Yeo|RW|5000
SWA|Zeidane Inoussa|LW|4500
SWA|Joseph Opoku|LW|4500
SWA|Goncalo Franco|CM|4000
SWA|Elijah Just|AM|3500
SWA|Marko Stamenic|CM|3000
SWA|Leo Walta|AM|3000
SWA|Ronald|RW|3000
SWA|Zan Vipotnik|CF|22000
SWA|Adam Idah|CF|4500
SWA|Ross Stewart|CF|2500
WAT|Federico Ravaglia|GK|1800
WAT|Egil Selvik|GK|1500
WAT|Jordan Zemura|LB|5000
WAT|Kevin Keben|CB|3500
WAT|Jeremy Ngakia|RB|3000
WAT|Mattie Pollock|CB|2000
WAT|Omar Traore|RB|2000
WAT|Marc Bola|LB|1500
WAT|Jeremy Petris|RB|1500
WAT|Imran Louza|CM|14000
WAT|Nestory Irankunda|RM|10000
WAT|Othmane Maamma|RW|8000
WAT|Martin Payero|CM|5000
WAT|Edoardo Bove|CM|4000
WAT|Edo Kayembe|CM|4000
WAT|Kwadwo Baah|LW|3000
WAT|Rocco Vata|LW|1800
WAT|Hector Kyprianou|DM|1500
WAT|Luca Kjerrumgaard|CF|8000
WAT|Mamadou Doumbia|CF|4000
WAT|Iker Bravo|CF|3000
WBA|Max O'Leary|GK|2000
WBA|Matt Ingram|GK|300
WBA|Chris Mepham|CB|3000
WBA|Callum Styles|LB|3000
WBA|Nat Phillips|CB|2500
WBA|Krystian Bielik|CB|2200
WBA|George Campbell|CB|2000
WBA|Nolan Galves|RB|1800
WBA|Isaac Price|CM|12000
WBA|Mikey Johnston|LW|4000
WBA|Felix Horn Myhre|CM|3500
WBA|Jayson Molumby|CM|3500
WBA|Rabby Nzingoula|DM|2000
WBA|Alex Mowatt|CM|1300
WBA|Ousmane Diakite|DM|1200
WBA|Aune Heggebo|CF|7000
WBA|Barney Stewart|CF|1000
WBA|Jimmy-Jay Morgan|CF|350
WHU|Mads Hermansen|GK|15000
WHU|Alphonse Areola|GK|4000
WHU|El Hadji Malick Diouf|LB|28000
WHU|Jean-Clair Todibo|CB|22000
WHU|Konstantinos Mavropanos|CB|18000
WHU|Aaron Wan-Bissaka|RB|15000
WHU|Maximilian Kilman|CB|13000
WHU|Kyle Walker-Peters|RB|12000
WHU|Oliver Scarles|LB|10000
WHU|Joel Veltman|RB|1500
WHU|Jarrod Bowen|RW|30000
WHU|Soungoutou Magassa|DM|17000
WHU|Edson Alvarez|DM|15000
WHU|Tomas Soucek|DM|10000
WHU|Manor Solomon|LW|8000
WHU|James Ward-Prowse|CM|5000
WHU|Maxwel Cornet|LW|2000
WHU|George Earthy|AM|1800
WHU|Taty Castellanos|CF|28000
WHU|Pablo|CF|18000
WHU|Niclas Fullkrug|CF|3500
WOL|Jose Sa|GK|3500
WOL|Sam Johnstone|GK|2000
WOL|Ladislav Krejci|CB|22000
WOL|Toti|CB|18000
WOL|Yerson Mosquera|CB|12000
WOL|Hugo Bueno|LB|12000
WOL|David Moller Wolfe|LB|12000
WOL|Jackson Tchatchoua|RB|12000
WOL|Santiago Bueno|CB|10000
WOL|Kieran Trippier|RB|1500
WOL|Andre|DM|25000
WOL|Mateus Mane|AM|20000
WOL|Jean-Ricner Bellegarde|CM|16000
WOL|Fer Lopez|AM|16000
WOL|Marshall Munetsi|CM|15000
WOL|Rodrigo Gomes|LM|15000
WOL|Tommy Doyle|CM|7000
WOL|Rafiki Said|LW|5000
WOL|Adam Armstrong|CF|6000
WOL|Hee-chan Hwang|CF|6000
WOL|Sasa Kalajdzic|CF|4000
WOL|Raul Jimenez|CF|3000
WRX|Anthony Patterson|GK|8000
WRX|Arthur Okonkwo|GK|5000
WRX|Callum Doyle|CB|12000
WRX|Max Cleworth|CB|10000
WRX|Zak Vyner|CB|3000
WRX|Liberato Cacace|LB|2500
WRX|Dominic Hyam|CB|2000
WRX|Conor Coady|CB|1000
WRX|Ben Sheaf|DM|7000
WRX|Nathan Broadhead|LW|7000
WRX|Lewis O'Brien|CM|6000
WRX|George Thomason|CM|2500
WRX|Ryan Longman|RM|2500
WRX|Ben Whiteman|CM|2000
WRX|George Dobson|DM|1500
WRX|Josh Windass|AM|1000
WRX|Bailey Cadamarteri|CF|2000
WRX|Kieffer Moore|CF|1300
WRX|Sam Smith|CF|1200
WRX|Davis Keillor-Dunn|CF|1000
